Image Count,Property Type,Property Price,Compound,City,Governorate,Bedrooms,Bathrooms,Area
10,Apartment,"8,185,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 2, 165 sqm
18,Townhouse,"16,000,000 EGP",Westown,Sheikh Zayed City,Giza, 4, 6, 306 sqm
11,Apartment,"4,500,000 EGP",Village West,Sheikh Zayed City,Giza, 1, 2, 75 sqm
14,Twin House,"10,500,000 EGP",Patio Al Zahraa,Sheikh Zayed City,Giza, 3, 3, 220 sqm
4,Apartment,"22,611,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 2, 201 sqm
13,Apartment,"11,500,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 164 sqm
10,Twin House,"23,000,000 EGP",Village West,Sheikh Zayed City,Giza, 4, 4, 270 sqm
10,Twin House,"5,800,000 EGP",Park Valley,Sheikh Zayed City,Giza, 4, 4, 200 sqm
7,Penthouse,"12,000,000 EGP",Casa,Sheikh Zayed City,Giza, 4, 4, 299 sqm
11,Apartment,"3,800,000 EGP",Al Khamayel city,Sheikh Zayed City,Giza, 3, 2, 163 sqm
7,Apartment,"4,385,726 EGP",Kayan,Sheikh Zayed City,Giza, 2, 2, 155 sqm
10,Apartment,"2,000,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 140 sqm
11,Apartment,"5,700,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 130 sqm
5,Apartment,"2,800,000 EGP",Village West,Sheikh Zayed City,Giza, 1, 1, 70 sqm
11,Apartment,"5,900,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 130 sqm
17,Apartment,"7,500,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 130 sqm
11,Apartment,"15,000,000 EGP",The Courtyards,Sheikh Zayed City,Giza, 3, 3, 217 sqm
10,Villa,"150,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 6, 5, 600 sqm
9,Townhouse,"9,200,000 EGP",Lake West,Sheikh Zayed City,Giza, 4, 3, 239 sqm
8,Apartment,"5,800,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 130 sqm
15,Apartment,"2,975,000 EGP",Beit Al Watan,Sheikh Zayed City,Giza, 3, 3, 175 sqm
11,Apartment,"4,500,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 120 sqm
11,Apartment,"3,319,920 EGP",Kayan,Sheikh Zayed City,Giza, 2, 2, 90 sqm
9,Apartment,"6,000,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 120 sqm
10,Villa,"21,500,000 EGP",The Estates,Sheikh Zayed City,Giza, 5, 4, 357 sqm
10,Villa,"21,500,000 EGP",Allegria,Sheikh Zayed City,Giza, 5, 4, 357 sqm
